id_orgao,nm_orgao,sigla_orgao,esfera,home_page,nome_municipio,cd_municipio_ibge
1611,SERVIÇO DE CLASSIFICAÇÃO DE PRODUTOS VEGETAIS,CLAVESUL,ESTADUAL,,PORTO ALEGRE,4314902
2302,POLÍCIA CIVIL,PC,ESTADUAL,www.policiacivil.rs.gov.br   www.pc.rs.gov.br,PORTO ALEGRE,4314902
2304,BRIGADA MILITAR,BM,ESTADUAL,www.brigadamilitar.rs.gov.br,PORTO ALEGRE,4314902
2502,FUND. ESTADUAL DE PESQUISA AGROPECUÁRIA,FEPAGRO,ESTADUAL,www.fepagro.rs.gov.br,PORTO ALEGRE,4314902
3400,SUPERINTENDÊNCIA DO PORTO DE RIO GRANDE,SUPRG,ESTADUAL,www.portoriogrande.com.br,RIO GRANDE,4315602
3500,DEP. AUTÔNOMO DE ESTRADAS DE RODAGEM,DAER,ESTADUAL,www.daer.rs.gov.br,PORTO ALEGRE,4314902
3600,"DEPARTAMENTO ESTADUAL DE PORTOS, RIOS E CANAIS",DEPRC,ESTADUAL,,PORTO ALEGRE,4314902
3700,DEPARTAMENTO AEROVIÁRIO DO ESTADO,DAE,ESTADUAL,,PORTO ALEGRE,4314902
3800,INSTITUTO RIOGRANDENSE DO ARROZ,IRGA,ESTADUAL,www.irga.rs.gov.br,PORTO ALEGRE,4314902
3900,INSTITUTO SUL-RIOGRANDENSE DE CARNES,INSTUCARNE,ESTADUAL,,PORTO ALEGRE,4314902
4000,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL,BRDE,ESTADUAL,http://www.brde.com.br,PORTO ALEGRE,4314902
4100,CAIXA ECONÔMICA ESTADUAL DO RS,CEE,ESTADUAL,,PORTO ALEGRE,4314902
4200,INST. DE PREVIDÊNCIA DO ESTADO RS,IPERGS,ESTADUAL,www.ipe.rs.gov.br,PORTO ALEGRE,4314902
4300,DEP. ESTADUAL DE TRÂNSITO,DETRAN/RS,ESTADUAL,www.detran.rs.gov.br,PORTO ALEGRE,4314902
4400,CONSELHO ESTADUAL DE EDUCAÇÃO,CEED,ESTADUAL,www.ceed.rs.gov.br,PORTO ALEGRE,4314902
4800,SECRETARIA DO PLANEJAMENTO TERRITORIAL E OBRAS,SPTO,ESTADUAL,,PORTO ALEGRE,4314902
5100,FUND. DE AMPARO À PESQUISA DO ESTADO,FAPERGS,ESTADUAL,www.fapergs.rs.gov.br,PORTO ALEGRE,4314902
5200,FUND. DE CIÊNCIA E TECNOLOGIA,CIENTEC,ESTADUAL,www.cientec.rs.gov.br,PORTO ALEGRE,4314902
5300,FUND. DE ECONOMIA E ESTATÍSTICA SIEGFRIED EMANUEL HEUSER,FEE,ESTADUAL,www.fee.rs.gov.br,PORTO ALEGRE,4314902
5400,FUND. PARA O DESENV. DE RECURSOS HUMANOS,FDRH,ESTADUAL,www.fdrh.rs.gov.br,PORTO ALEGRE,4314902
5500,FUND. DE ATENDIMENTO AO DEFICIENTE E AO SUPERDOTADO,FADERS,ESTADUAL,,PORTO ALEGRE,4314902
5600,FUND. ESCOLA TÉCNICA LIBERATO SALZANO VIEIRA DA CUNHA,FETLSVC,ESTADUAL,www.liberato.com.br,NOVO HAMBURGO,4313409
5700,FUND. ORQUESTRA SINFÔNICA DE PORTO ALEGRE,FOSPA,ESTADUAL,www.ospa.org.br,PORTO ALEGRE,4314902
5800,FUND. ESTADUAL DO BEM ESTAR DO MENOR,FEBEM,ESTADUAL,www.febem.rs.gov.br,PORTO ALEGRE,4314902
5900,FUND. GAÚCHA DO TRABALHO E AÇÃO SOCIAL,FGTAS,ESTADUAL,www.fgtas.rs.gov.br,PORTO ALEGRE,4314902
6000,FUND. SUL-RIOGRANDENSE DE ASSISTÊNCIA SENADOR TARSO DUTRA,FUNDASUL,ESTADUAL,,PORTO ALEGRE,4314902
6100,FUND. ZOOBOTÂNICA DO RIO GRANDE DO SUL,FZB,ESTADUAL,www.fzb.rs.gov.br,PORTO ALEGRE,4314902
6200,FUND. INSTITUTO GAÚCHO DE TRADIÇÃO E FOLCLORE,FIGTF,ESTADUAL,www.igtf.rs.gov.br,PORTO ALEGRE,4314902
6300,FUND. DE PESQUISA AGROPECUÁRIA,FPA,ESTADUAL,,PORTO ALEGRE,4314902
6400,FUND. ESTADUAL DE PLANEJAMENTO METROPOLITANO E REGIONAL,METROPLAN,ESTADUAL,www.metroplan.rs.gov.br,PORTO ALEGRE,4314902
6500,FUND. CULTURAL PIRATINI - RÁDIO E TELEVISÃO,FCRTVE,ESTADUAL,www.tve.com.br,PORTO ALEGRE,4314902
6600,FUND. TEATRO SÃO PEDRO,FTSP,ESTADUAL,www.teatrosaopedro.com.br,PORTO ALEGRE,4314902
6700,FUND. ESTADUAL DE PROTEÇÃO AMBIENTAL HENRIQUE LUIZ ROESSLER,FEPAM,ESTADUAL,www.fepam.rs.gov.br,PORTO ALEGRE,4314902
6800,FUND. ESTADUAL DE PRODUÇÃO E PESQUISA EM SAÚDE,FEPPS,ESTADUAL,www.fepps.rs.gov.br,PORTO ALEGRE,4314902
6900,AGÊNCIA EST. DE REGULAÇÃO DOS SERV. PÚBL. DELEG. DO RGS,AGERGS,ESTADUAL,www.agergs.rs.gov.br,PORTO ALEGRE,4314902
7100,BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.,BANRISUL,ESTADUAL,www.banrisul.com.br,PORTO ALEGRE,4314902
7102,BANRISUL PROCESSAMENTO DE DADOS LTDA.,,ESTADUAL,,PORTO ALEGRE,4314902
7105,BANRISUL S.A. CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO,BCVMC,ESTADUAL,www.banrisulcorretora.com.br,PORTO ALEGRE,4314902
7106,BANRISUL S.A. ARRENDAMENTO MERCANTIL,BARM,ESTADUAL,,ESTEIO,4307708
7108,ARMAZÉNS GERAIS E ENTREPOSTOS ADUANEIROS,AGEUSA,ESTADUAL,,URUGUAIANA,4322400
7200,BANCO DE DESENVOLVIMENTO DO ESTADO DO RS,BADESUL,ESTADUAL,,PORTO ALEGRE,4314902
7300,CENTRAL VITIVINÍCOLA DO SUL S.A.,VINOSUL,ESTADUAL,,CAXIAS DO SUL,4305108
7400,CENTRAIS DE ABASTECIMENTO DO RIO GRANDE DO SUL S.A.,CEASA,ESTADUAL,www.ceasa.rs.com.br,PORTO ALEGRE,4314902
7500,AÇUCAR GAÚCHO S.A.,AGASA,ESTADUAL,,SANTO ANTÔNIO DA PATRULHA,4317608
7600,CIA. DE DESENVOLVIMENTO INDUSTRIAL E COMERCIAL,CEDIC,ESTADUAL,,PORTO ALEGRE,4314902
7700,CIA. RIOGRANDENSE DE LATICÍNIOS E CORRELATOS,CORLAC,ESTADUAL,,PORTO ALEGRE,4314902
7800,DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS,DIVERGS,ESTADUAL,,PORTO ALEGRE,4314902
7900,PRODUTOS GAÚCHOS S.A.,PROGASA,ESTADUAL,,PORTO ALEGRE,4314902
8000,CIA. ESTADUAL DE ENERGIA ELÉTRICA,CEEE,ESTADUAL,www.ceee.com.br,PORTO ALEGRE,4314902
8100,CIA. RIOGRANDENSE DE TELECOMUNICAÇÕES,CRT,ESTADUAL,,PORTO ALEGRE,4314902
8200,CIA. RIOGRANDENSE DE MINERAÇÃO,CRM,ESTADUAL,www.crm.rs.gov.br,PORTO ALEGRE,4314902
8300,CIA. INTERMUNICIPAL DE ESTRADAS ALIMENTADORAS,CINTEA,ESTADUAL,,PORTO ALEGRE,4314902
8400,CIA. ESTADUAL DE SILOS E ARMAZÉNS,CESA,ESTADUAL,www.cesa.rs.gov.br,PORTO ALEGRE,4314902
8500,CIA. DE HABITAÇÃO DO ESTADO DO RS,COHAB,ESTADUAL,,PORTO ALEGRE,4314902
8600,CIA. DE GÁS DO ESTADO DO RIO GRANDE DO SUL,SULGAS,ESTADUAL,www.sulgas.rs.gov.br,PORTO ALEGRE,4314902
8700,CIA. RIOGRANDENSE DE SANEAMENTO,CORSAN,ESTADUAL,www.corsan.com.br,PORTO ALEGRE,4314902
8800,CIA. RIOGRANDENSE DE ARTES GRÁFICAS,CORAG,ESTADUAL,www.corag.com.br,PORTO ALEGRE,4314902
8900,CIA. DE PROCESSAMENTO DE DADOS DO RS,PROCERGS,ESTADUAL,www.procergs.rs.gov.br,PORTO ALEGRE,4314902
9000,CIA. RIOGRANDENSE DE TURISMO,CRTUR,ESTADUAL,,PORTO ALEGRE,4314902
9100,ASSOCIAÇÃO RIOGR. DE EMPREEND. DE ASSIST. TÉC. E EXT. RURAL,EMATER,ESTADUAL,www.emater.tche.br,PORTO ALEGRE,4314902
9200,BANRISUL ARMAZÉNS GERAIS S.A.,BAGERGS,ESTADUAL,www.bagergs.com.br,CANOAS,4304606
9300,CIA. UNIÃO DE SEGUROS GERAIS,CIA UNIAO,ESTADUAL,,PORTO ALEGRE,4314902
9400,CIA. DE INDÚSTRIAS ELETROQUÍMICAS,CIEL,ESTADUAL,www.corsan.com.br/empresa/ciel.htm,ESTEIO,4307708
9500,CIA. ESTADUAL DE DESENVOLVIMENTO REGIONAL E OBRAS,CEDRO,ESTADUAL,,PORTO ALEGRE,4314902
9600,FESTA NACIONAL DA UVA TURISMO E EMPREENDIMENTOS S/A.,FESTUVA,MUNICIPAL,www.festanacionaldauva.com.br,CAXIAS DO SUL,4305108
9700,CIA. ADMINISTRADORA DA ZPE DO RIO GRANDE,ZOPERG-RS,ESTADUAL,,RIO GRANDE,4315602
9900,CAIXA ESTADUAL S.A. - AGÊNCIA DE DESENVOLVIMENTO,,ESTADUAL,,PORTO ALEGRE,4314902
10000,CIA. DE GERAÇÃO TÉRMICA DE ENERGIA ELÉTRICA,CGTEE,ESTADUAL,,PORTO ALEGRE,4314902
10100,CIA. CENTRO-OESTE DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,CCODEE,ESTADUAL,,PORTO ALEGRE,4314902
10200,CIA. NORTE-NORDESTE DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,CNNDEE,ESTADUAL,,PORTO ALEGRE,4314902
10300,SUPERINTENDÊNCIA DE PORTOS E HIDROVIAS,SPH,ESTADUAL,www.sph.rs.gov.br,PORTO ALEGRE,4314902
40100,PM DE AGUDO,PM,MUNICIPAL,www.agudo.rs.gov.br,AGUDO,4300109
40101,CM DE AGUDO,CM AGUDO,MUNICIPAL,www.agudo.rs.leg.br,AGUDO,4300109
40200,PM DE AJURICABA,PM,MUNICIPAL,www.ajuricaba.rs.gov.br,AJURICABA,4300208
40201,CM DE AJURICABA,CM AJURICA,MUNICIPAL,www.cmajuricaba.rs.gov.br,AJURICABA,4300208
40300,PM DE ALECRIM,PM,MUNICIPAL,www.alecrim.rs.gov.br,ALECRIM,4300307
40301,CM DE ALECRIM,CM ALECRIM,MUNICIPAL,www.camaraalecrim.rs.gov.br,ALECRIM,4300307
40400,PM DE ALEGRETE,PM,MUNICIPAL,www.alegrete.rs.gov.br,ALEGRETE,4300406
40401,CM DE ALEGRETE,CM ALEGRET,MUNICIPAL,www.alegrete.rs.leg.br,ALEGRETE,4300406
40500,PM DE ALPESTRE,PM,MUNICIPAL,www.alpestre.rs.gov.br,ALPESTRE,4300505
40501,CM DE ALPESTRE,CM ALPESTR,MUNICIPAL,www.camaraalpestre.com.br,ALPESTRE,4300505
40600,PM DE ALVORADA,PMA,MUNICIPAL,www.alvorada.rs.gov.br,ALVORADA,4300604
40601,CM DE ALVORADA,CM ALVORAD,MUNICIPAL,www.camara-alvorada.rs.gov.br,ALVORADA,4300604
40602,FUND. PRÓ-SAÚDE E SANEAMENTO-ALVORADA,,MUNICIPAL,,ALVORADA,4300604
40700,PM DE ANTA GORDA,PM ANTA GO,MUNICIPAL,www.antagorda.rs.gov.br,ANTA GORDA,4300703
40701,CM DE ANTA GORDA,CM ANTA GO,MUNICIPAL,www.camaraantagorda.com.br,ANTA GORDA,4300703
40800,PM DE ANTÔNIO PRADO,PM A. PRAD,MUNICIPAL,www.antonioprado.com.br,ANTÔNIO PRADO,4300802
40801,CM DE ANTÔNIO PRADO,CM A PRADO,MUNICIPAL,www.camaraantonioprado.rs.gov.br,ANTÔNIO PRADO,4300802
40802,FUND. HISTÓRIA VIVA DE UM POVO-A.PRADO,FHVP,MUNICIPAL,,ANTÔNIO PRADO,4300802
40803,ANTÔNIO PRADO HOTÉIS E TURISMO S/A.,PM-A.PRADO,MUNICIPAL,,ANTÔNIO PRADO,4300802
40900,PM DE ARATIBA,PM ARATIBA,MUNICIPAL,www.pmaratiba.com.br,ARATIBA,4300901
40901,CM DE ARATIBA,CM ARATIBA,MUNICIPAL,www.camaraaratiba.com.br,ARATIBA,4300901
41000,PM DE ARROIO DO MEIO,PM A DO ME,MUNICIPAL,www.arroiodomeiors.com.br,ARROIO DO MEIO,4301008
41001,CM DE ARROIO DO MEIO,CM A DO ME,MUNICIPAL,www.arroiodomeiors.com.br,ARROIO DO MEIO,4301008
41100,PM DE ARROIO DOS RATOS,PM A. RATO,MUNICIPAL,www.arroiodosratos.rs.gov.br,ARROIO DOS RATOS,4301107
41101,CM DE ARROIO DOS RATOS,CM ARROIO,MUNICIPAL,www.arroiodosratos.rs.leg.br,ARROIO DOS RATOS,4301107
41200,PM DE ARROIO DO TIGRE,PM A. DO T,MUNICIPAL,www.arroiodotigre.rs.gov.br,ARROIO DO TIGRE,4301206
41201,CM DE ARROIO DO TIGRE,CM ARROIO,MUNICIPAL,www.camaraarroiodotigre.com.br,ARROIO DO TIGRE,4301206
41300,PM DE ARROIO GRANDE,PM A. GRAN,MUNICIPAL,www.arroiogrande.rs.gov.br/site/content/home/,ARROIO GRANDE,4301305
41301,CM DE ARROIO GRANDE,CM A GRAND,MUNICIPAL,www.camaraarroiogrande.rs.gov.br,ARROIO GRANDE,4301305
41400,PM DE ARVOREZINHA,PM ARVOREZ,MUNICIPAL,www.arvorezinhars.com.br,ARVOREZINHA,4301404
41401,CM DE ARVOREZINHA,CM ARVOREZ,MUNICIPAL,www.camaraarvorezinha.com.br,ARVOREZINHA,4301404
41500,PM DE AUGUSTO PESTANA,PM,MUNICIPAL,www.augustopestana.rs.gov.br,AUGUSTO PESTANA,4301503
41501,CM DE AUGUSTO PESTANA,CM A PESTA,MUNICIPAL,www.camaraaugustopestana.rs.gov.br,AUGUSTO PESTANA,4301503
41600,PM DE BAGÉ,PM BAGE,MUNICIPAL,www.bage.rs.gov.br,BAGÉ,4301602
41601,CM DE BAGÉ,CM BAGE,MUNICIPAL,www.camvbage.rs.gov.br,BAGÉ,4301602
41603,"DEPARTAMENTO DE ÁGUA, ARROIOS E ESGOTO DE BAGÉ",DAEB,MUNICIPAL,,BAGÉ,4301602
41700,PM DE BARÃO DE COTEGIPE,PM B COTEG,MUNICIPAL,www.baraodecotegipe.rs.gov.br,BARÃO DE COTEGIPE,4301701
41701,CM DE BARÃO DE COTEGIPE,CM B COTEG,MUNICIPAL,www.camarabaraodecotegipe.rs.gov.br,BARÃO DE COTEGIPE,4301701
41800,PM DE BARRACÃO,PM BARRACA,MUNICIPAL,www.barracao.rs.gov.br,BARRACÃO,4301800
41801,CM DE BARRACÃO,CM BARRACA,MUNICIPAL,www.barracao.rs.leg.br,BARRACÃO,4301800
41900,PM DE BARRA DO RIBEIRO,PM B.DO RI,MUNICIPAL,www.barradoribeiro.rs.gov.br,BARRA DO RIBEIRO,4301909
41901,CM DE BARRA DO RIBEIRO,CM B DO RI,MUNICIPAL,www.barradoribeiro.rs.leg.br,BARRA DO RIBEIRO,4301909
41902,FUND. AMBULATORIAL E HOSPITALAR-B.RIBEIRO,FAHO,MUNICIPAL,,BARRA DO RIBEIRO,4301909
42000,PM DE BARROS CASSAL,PM B CASSA,MUNICIPAL,www.barroscassal.rs.gov.br,BARROS CASSAL,4302006
42001,CM DE BARROS CASSAL,CM B CASSA,MUNICIPAL,www.camaradebarroscassal.rs.gov.br,BARROS CASSAL,4302006
42100,PM DE BENTO GONÇALVES,PM B. GONC,MUNICIPAL,www.bentogoncalves.rs.gov.br,BENTO GONÇALVES,4302105
42101,CM DE BENTO GONÇALVES,CM B GONCA,MUNICIPAL,www.camarabento.rs.gov.br,BENTO GONÇALVES,4302105
42102,FUND. CASA DAS ARTES DE BENTO GONÇALVES,,MUNICIPAL,,BENTO GONÇALVES,4302105
42200,PM DE BOA VISTA DO BURICÁ,PM,MUNICIPAL,boavistadoburica.rs.gov.br,BOA VISTA DO BURICÁ,4302204
42201,CM DE BOA VISTA DO BURICÁ,CM BOA V B,MUNICIPAL,camaraboavistadoburica.rs.gov.br,BOA VISTA DO BURICÁ,4302204
42300,PM DE BOM JESUS,PM BOM JES,MUNICIPAL,www.bomjesus.rs.gov.br,BOM JESUS,4302303
42301,CM DE BOM JESUS,CM B JESUS,MUNICIPAL,www.bomjesus.rs.leg.br,BOM JESUS,4302303
42302,SERVIÇO MUN. RADIODIF. APAR. SERRA - BOM JESUS,,MUNICIPAL,,BOM JESUS,4302303
42400,PM DE BOM RETIRO DO SUL,PM B.RETIR,MUNICIPAL,www.bomretirodosul.rs.gov.br,BOM RETIRO DO SUL,4302402
42401,CM DE BOM RETIRO DO SUL,CM BOM R D,MUNICIPAL,www.camarabomretirodosul.rs.gov.br,BOM RETIRO DO SUL,4302402
42500,PM DE BOSSOROCA,PM,MUNICIPAL,www.bossoroca.rs.gov.br,BOSSOROCA,4302501
42501,CM DE BOSSOROCA,CM BOSSORO,MUNICIPAL,www.camarabossoroca.rs.gov.br,BOSSOROCA,4302501
42600,PM DE BRAGA,PM,MUNICIPAL,www.braga.rs.gov.br,BRAGA,4302600
42601,CM DE BRAGA,CM BRAGA,MUNICIPAL,www.camarabraga.rs.gov.br,BRAGA,4302600
42700,PM DE BUTIÁ,PM BUTIA,MUNICIPAL,www.butia.rs.gov.br,BUTIÁ,4302709
42701,CM DE BUTIÁ,CM BUTIA,MUNICIPAL,www.butia.rs.leg.br,BUTIÁ,4302709
42702,FUND. MUNICIPAL DE SAÚDE - BUTIÁ,FUMSA,MUNICIPAL,,BUTIÁ,4302709
42800,PM DE CAÇAPAVA DO SUL,PM CACAPAV,MUNICIPAL,www.cacapava.rs.gov.br,CAÇAPAVA DO SUL,4302808
42801,CM DE CAÇAPAVA DO SUL,CM CACAPAV,MUNICIPAL,www.camaracacapava.rs.gov.br,CAÇAPAVA DO SUL,4302808
42900,PM DE CACEQUI,PM CACEQUI,MUNICIPAL,www.cacequi.rs.gov.br,CACEQUI,4302907
42901,CM DE CACEQUI,CM CACEQUI,MUNICIPAL,cvcacequi.com.br/,CACEQUI,4302907
43000,PM DE CACHOEIRA DO SUL,PM CACH. D,MUNICIPAL,www.cachoeiradosul.rs.gov.br,CACHOEIRA DO SUL,4303004
43001,CM DE CACHOEIRA DO SUL,CM CACHOEI,MUNICIPAL,www.camaracachoeira.rs.gov.br,CACHOEIRA DO SUL,4303004
43002,PATRONATO AGRÍC. ESC. ART.OFÍC. IMAC. CONC.,PATRONATO,MUNICIPAL,,CACHOEIRA DO SUL,4303004
43100,PM DE CACHOEIRINHA,PM,MUNICIPAL,www.cachoeirinha.rs.gov.br,CACHOEIRINHA,4303103
43101,CM DE CACHOEIRINHA,CM CACHOEI,MUNICIPAL,www.cmcachoeirinha.rs.gov.br,CACHOEIRINHA,4303103
43200,PM DE CACIQUE DOBLE,PM CAC DOB,MUNICIPAL,www.caciquedoblers.com.br,CACIQUE DOBLE,4303202
43201,CM DE CACIQUE DOBLE,CM CAC DOB,MUNICIPAL,www.camaracaciquedoble.com.br,CACIQUE DOBLE,4303202
43300,PM DE CAIBATÉ,Q,MUNICIPAL,www.caibate.rs.gov.br,CAIBATÉ,4303301
43301,CM DE CAIBATÉ,CM CAIBATE,MUNICIPAL,www.camaracaibate.rs.gov.br/Home.aspx,CAIBATÉ,4303301
43400,PM DE CAIÇARA,PM,MUNICIPAL,www.caicara.rs.gov.br,CAIÇARA,4303400
43401,CM DE CAIÇARA,CM CAICARA,MUNICIPAL,www.caicara.rs.gov.br,CAIÇARA,4303400
43500,PM DE CAMAQUÃ,PM CAMAQUA,MUNICIPAL,www.camaqua.rs.gov.br,CAMAQUÃ,4303509
43501,CM DE CAMAQUÃ,CM CAMAQUA,MUNICIPAL,www.camaracq.rs.gov.br,CAMAQUÃ,4303509
43502,FUND. ASSISTENCIAL E BENEFICENTE DE CAMAQUÃ,FUNBECA,MUNICIPAL,www.funbeca.com.br,CAMAQUÃ,4303509
43600,PM DE CAMBARÁ DO SUL,PM CAMBARA,MUNICIPAL,www.cambaradosul.rs.gov.br,CAMBARÁ DO SUL,4303608
43601,CM DE CAMBARÁ DO SUL,CM CAMBARA,MUNICIPAL,www.cambaradosul.rs.leg.br,CAMBARÁ DO SUL,4303608
43602,FUND. DE SAÚDE SÃO JOSÉ-CAMBARÁ DO SUL,FSSJ,MUNICIPAL,,CAMBARÁ DO SUL,4303608
43700,PM DE CAMPINA DAS MISSÕES,PM,MUNICIPAL,www.campinadasmissoes.rs.gov.br,CAMPINA DAS MISSÕES,4303707
43701,CM DE CAMPINA DAS MISSÕES,CM CAMP.MI,MUNICIPAL,www.camaracampinadasmissoes.rs.gov.br,CAMPINA DAS MISSÕES,4303707
43800,PM DE CAMPINAS DO SUL,PM CAMPINA,MUNICIPAL,www.campinasdosul.rs.gov.br,CAMPINAS DO SUL,4303806
43801,CM DE CAMPINAS DO SUL,CM CAMPINA,MUNICIPAL,www.campinasdosul.rs.leg.br,CAMPINAS DO SUL,4303806
43900,PM DE CAMPO BOM,PM C. BOM,MUNICIPAL,www.campobom.rs.gov.br,CAMPO BOM,4303905
43901,CM DE CAMPO BOM,CM CAMPO B,MUNICIPAL,www.camaracb.rs.gov.br,CAMPO BOM,4303905
43902,INST. PREV. ASSIST. SERV. MUN. CAMPO BOM,IPASEMCB,MUNICIPAL,www.ipasemcampobom.com.br,CAMPO BOM,4303905
44000,PM DE CAMPO NOVO,PM,MUNICIPAL,www.camponovo.rs.gov.br,CAMPO NOVO,4304002
44001,CM DE CAMPO NOVO,CM CAMPO N,MUNICIPAL,www.camaracamponovo.rs.gov.br,CAMPO NOVO,4304002
44100,PM DE CANDELÁRIA,PM CANDELA,MUNICIPAL,www.candelaria.rs.gov.br,CANDELÁRIA,4304200
44101,CM DE CANDELÁRIA,CM CANDELA,MUNICIPAL,www.camaracandelaria.com.br,CANDELÁRIA,4304200
44200,PM DE CÂNDIDO GODÓI,PM,MUNICIPAL,www.candidogodoi.rs.gov.br,CÂNDIDO GODÓI,4304309
44201,CM DE CÂNDIDO GODÓI,CM CAND. G,MUNICIPAL,www.camaracandidogodoi.rs.gov.br,CÂNDIDO GODÓI,4304309
44300,PM DE CANELA,PM CANELA,MUNICIPAL,www.canela.rs.gov.br,CANELA,4304408
44301,CM DE CANELA,CM CANELA,MUNICIPAL,www.canela.rs.leg.br,CANELA,4304408
44400,PM DE CANGUÇU,PM CANGUCU,MUNICIPAL,www.cangucu.rs.gov.br,CANGUÇU,4304507
44401,CM DE CANGUÇU,CM CANGUCU,MUNICIPAL,www.camaracangucu.com.br,CANGUÇU,4304507
44500,PM DE CANOAS,PM CANOAS,MUNICIPAL,www.canoas.rs.gov.br,CANOAS,4304606
44501,CM DE CANOAS,CM CANOAS,MUNICIPAL,www.camaracanoas.rs.gov.br,CANOAS,4304606
44502,FUND. CULTURAL DE CANOAS,FUNDACAN,MUNICIPAL,www.fundacan.com.br,CANOAS,4304606
44600,PM DE CARAZINHO,PM CARAZIN,MUNICIPAL,www.carazinho.rs.gov.br,CARAZINHO,4304705
44601,CM DE CARAZINHO,CM CARAZIN,MUNICIPAL,www.camaracrz.rs.gov.br,CARAZINHO,4304705
44602,CENTRAIS ELÉTRICAS DE CARAZINHO S/A.,ELETROCAR,MUNICIPAL,http://www.eletrocar.com.br,CARAZINHO,4304705
44603,FUND. DESPORTIVA CULTURAL DE CARAZINHO,FUNDESCAR,MUNICIPAL,www.carazinho.rs.gov.br,CARAZINHO,4304705
44604,CENTRO DE ASSIST. E PREST. À SAÚDE DOS SERV. MUN.,CAPSEM,MUNICIPAL,www.carazinho.rs.gov.br,CARAZINHO,4304705
44605,CIA. DE DESENVOLVIMENTO DE CARAZINHO,CODECAR,MUNICIPAL,,CARAZINHO,4304705
44700,PM DE CARLOS BARBOSA,PM C. BARB,MUNICIPAL,www.carlosbarbosa.rs.gov.br,CARLOS BARBOSA,4304804
44701,CM DE CARLOS BARBOSA,CM C BARBO,MUNICIPAL,www.carlosbarbosa.rs.leg.br,CARLOS BARBOSA,4304804
44702,INST. PREV. E ASSISTÊNCIA  MÉDICA MUNICIPAL- CARLOS BARBOSA,IPRAMM,MUNICIPAL,,CARLOS BARBOSA,4304804
44800,PM DE CASCA,PM CASCA,MUNICIPAL,www.casca.rs.gov.br/,CASCA,4304903
